;ANIMAL;GENDER;AH_W_G;PH_W_G;SHAVINGS_W_G;TOTAL;AH_L;AH_C;AH_STUMP_L;PH_L;PH_C;PH_STUMP_L;CALC_AGE;CALC_ARRIVAL;DH_YEAR;DH_MONTH;DH_QUARTER;W_DIFF;L_DIFF;C_DIFF;B_YEAR;B_MONTH;B_QUARTER;DIM_DEHORN;INT_DEHORN;CALC_PARITY;C_YEAR;C_MONTH;C_QUARTER;N_DEHORNINGS;GR_DAYS;G_TOTAL;G_AH_W;G_AH_L;G_AH_C;G_PH_W;G_PH_L;G_PH_C;DAYSDUE
130;66;F;973;233;107;1313;105;590;85;50;500;30;NA;1849;2015;6;2;740;55;90;NA;NA;NA;439;709;2;2014;4;2;3;709;1,85190409;1,37235543;0,14809591;0,832157969;0,328631876;0,070521862;0,705218618;NA
131;66;M;562;12;41;615;190;430;90;20;260;20;1177;NA;2015;3;1;550;170;170;2011;12;4;NA;NA;0;NA;NA;NA;1;1177;0,522514868;0,477485132;0,161427358;0,365335599;0,010195412;0,016992353;0,220900595;NA
132;66;F;1041;197;89;1327;165;605;80;70;525;20;NA;524;2011;11;4;844;95;80;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;78
133;67;F;1217;181;121;1519;130;590;80;45;480;35;NA;1248;2013;10;4;1036;85;110;NA;NA;NA;646;724;1;2012;1;1;2;724;2,098066298;1,680939227;0,179558011;0,814917127;0,25;0,062154696;0,662983425;144
134;68;F;1070;150;110;1330;125;590;65;50;500;25;NA;1849;2015;6;2;920;75;90;NA;NA;NA;457;601;2;2014;3;1;3;601;2,212978369;1,780366057;0,207986689;0,981697171;0,249584027;0,083194676;0,831946755;NA
135;68;F;590;NA;29;619;190;460;80;NA;260;NA;960;NA;2014;9;3;NA;NA;200;2012;1;1;NA;NA;0;NA;NA;NA;1;960;0,644791667;0,614583333;0,197916667;0,479166667;NA;NA;0,270833333;NA
136;69;F;184;9;NA;193;100;230;NA;15;140;NA;499;NA;2015;8;3;175;85;90;2014;3;1;NA;NA;0;NA;NA;NA;1;499;0,386773547;0,368737475;0,200400802;0,460921844;0,018036072;0,03006012;0,280561122;NA
137;69;F;721;311;66;1098;125;580;75;110;490;30;NA;486;2011;9;3;410;15;90;NA;NA;NA;238;NA;1;2011;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;840
138;69;F;740;172;76;988;80;585;90;35;500;25;NA;897;2012;11;4;568;45;85;NA;NA;NA;649;411;1;2011;2;1;2;411;2,403892944;1,800486618;0,194647202;1,423357664;0,418491484;0,085158151;1,216545012;429
139;70;F;1259;191;132;1582;145;590;75;50;440;20;NA;1695;2015;1;1;1068;95;150;NA;NA;NA;369;798;2;2014;1;1;3;798;1,98245614;1,577694236;0,181704261;0,739348371;0,239348371;0,062656642;0,551378446;NA
140;70;F;410;NA;18;428;160;450;75;NA;250;NA;684;NA;2012;12;4;NA;NA;200;2011;2;1;NA;NA;0;NA;NA;NA;1;684;0,625730994;0,599415205;0,233918129;0,657894737;NA;NA;0,365497076;NA
141;71;F;718;38;28;784;145;480;75;35;380;25;1349;NA;2014;10;4;680;110;100;2011;2;1;NA;665;0;NA;NA;NA;2;665;1,178947368;1,079699248;0,218045113;0,721804511;0,057142857;0,052631579;0,571428571;NA
142;72;F;565;47;69;681;110;350;90;40;220;20;1740;NA;2015;11;4;518;70;130;2011;2;1;NA;391;0;NA;NA;NA;3;391;1,74168798;1,445012788;0,281329923;0,895140665;0,120204604;0,10230179;0,562659847;NA
143;72;F;1562;396;183;2141;155;620;75;65;590;25;NA;522;2011;11;4;1166;90;30;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;231
144;72;F;1254;160;131;1545;80;615;90;30;580;30;NA;895;2012;11;4;1094;50;35;NA;NA;NA;142;373;1;2012;6;2;2;373;4,142091153;3,361930295;0,214477212;1,648793566;0,428954424;0,080428954;1,554959786;740
145;73;F;1845;493;162;2500;120;605;80;55;580;25;NA;1560;2014;9;3;1352;65;25;NA;NA;NA;807;665;1;2012;6;2;3;665;3,759398496;2,77443609;0,180451128;0,909774436;0,741353383;0,082706767;0,872180451;75
146;73;F;969;123;55;1147;345;530;80;80;435;35;NA;NA;2010;11;4;846;265;95;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
147;74;F;995;145;93;1233;110;585;80;20;500;20;NA;NA;2011;11;4;850;90;85;NA;NA;NA;NA;370;0;NA;NA;NA;2;370;3,332432432;2,689189189;0,297297297;1,581081081;0,391891892;0,054054054;1,351351351;NA
148;74;M;1882;248;67;2197;365;600;85;90;505;20;1150;84;2010;11;4;1634;275;95;2007;9;3;NA;NA;0;NA;NA;NA;1;1150;1,910434783;1,636521739;0,317391304;0,52173913;0,215652174;0,07826087;0,439130435;NA
149;75;M;1539;352;157;2048;125;635;75;40;590;15;1502;436;2011;11;4;1187;85;45;2007;9;3;NA;352;0;NA;NA;NA;2;352;5,818181818;4,372159091;0,355113636;1,803977273;1;0,113636364;1,676136364;NA
150;75;M;1578;283;175;2036;100;680;90;30;620;30;1870;804;2012;11;4;1295;70;60;2007;9;3;NA;368;0;NA;NA;NA;3;368;5,532608696;4,288043478;0,27173913;1,847826087;0,769021739;0,081521739;1,684782609;NA
151;76;M;1854;477;119;2450;140;470;120;70;400;30;2530;1464;2014;9;3;1377;70;70;2007;9;3;NA;660;0;NA;NA;NA;4;660;3,712121212;2,809090909;0,212121212;0,712121212;0,722727273;0,106060606;0,606060606;NA
152;76;M;1816;659;97;2572;180;760;90;110;690;20;NA;478;2011;9;3;1157;70;70;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
153;77;M;1389;444;262;2095;85;780;105;30;645;40;NA;924;2012;12;4;945;55;135;NA;NA;NA;NA;446;0;NA;NA;NA;2;446;4,697309417;3,114349776;0,19058296;1,748878924;0,995515695;0,067264574;1,446188341;NA
154;78;M;2100;828;NA;2928;110;NA;NA;60;NA;NA;NA;998;2013;3;1;1272;50;NA;NA;NA;NA;NA;74;0;NA;NA;NA;3;74;39,56756757;28,37837838;1,486486486;NA;11,18918919;0,810810811;NA;NA
155;78;F;1556;466;111;2133;130;660;80;80;590;20;NA;1024;2011;8;3;1090;50;70;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;52
156;79;F;1262;200;166;1628;90;670;70;40;540;25;NA;1721;2013;7;3;1062;50;130;NA;NA;NA;645;697;1;2011;10;3;2;697;2,335724534;1,81061693;0,129124821;0,961262554;0,286944046;0,057388809;0,774748924;128
157;79;M;648;71;12;731;170;480;80;40;490;20;746;NA;2011;6;2;577;130;-10;2009;6;2;NA;NA;0;NA;NA;NA;1;746;0,979892761;0,868632708;0,227882038;0,643431635;0,095174263;0,053619303;0,656836461;NA
158;79;M;687;110;63;860;100;530;80;30;460;20;1063;NA;2012;5;2;577;70;70;2009;6;2;NA;317;0;NA;NA;NA;2;317;2,712933754;2,167192429;0,315457413;1,67192429;0,347003155;0,094637224;1,451104101;NA
159;80;M;1233;173;112;1518;130;610;100;40;600;40;1495;NA;2013;7;3;1060;90;10;2009;6;2;NA;432;0;NA;NA;NA;3;432;3,513888889;2,854166667;0,300925926;1,412037037;0,400462963;0,092592593;1,388888889;NA
160;81;M;1520;339;191;2050;160;650;90;70;620;40;2092;NA;2015;3;1;1181;90;30;2009;6;2;NA;597;0;NA;NA;NA;4;597;3,433835846;2,546063652;0,2680067;1,088777219;0,567839196;0,117252931;1,038525963;NA
161;81;M;689;12;47;748;170;480;80;20;280;20;753;NA;2013;10;4;677;150;200;2011;10;4;NA;NA;0;NA;NA;NA;1;753;0,993359894;0,91500664;0,225763612;0,637450199;0,015936255;0,026560425;0,37184595;NA
162;82;M;1515;230;135;1880;210;430;90;80;320;10;1493;NA;2015;11;4;1285;130;110;2011;10;4;NA;740;0;NA;NA;NA;2;740;2,540540541;2,047297297;0,283783784;0,581081081;0,310810811;0,108108108;0,432432432;NA
163;82;F;983;214;87;1284;145;550;70;60;490;20;NA;NA;2011;11;4;769;85;60;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
164;82;M;146;644;35;825;60;NA;NA;125;400;20;NA;910;2011;4;2;-498;-65;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
165;83;M;2776;139;203;3118;27;840;100;30;620;20;NA;1324;2012;6;2;2637;-3;220;NA;NA;NA;NA;414;0;NA;NA;NA;2;414;7,531400966;6,70531401;0,065217391;2,028985507;0,335748792;0,072463768;1,497584541;NA
166;84;M;2833;487;230;3550;195;810;95;65;650;10;NA;2063;2014;6;2;2346;130;160;NA;NA;NA;NA;739;0;NA;NA;NA;3;739;4,803788904;3,833558863;0,263870095;1,096075778;0,658998647;0,087956698;0,879566982;NA
167;84;F;1584;292;143;2019;180;570;50;90;520;20;NA;2183;2014;10;4;1292;90;50;NA;NA;NA;583;NA;2;2013;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;201
168;84;F;635;45;40;720;220;400;60;40;280;20;1293;NA;2014;11;4;590;180;120;2011;4;2;NA;NA;0;NA;NA;NA;1;1293;0,556844548;0,491105955;0,170146945;0,309358082;0,034802784;0,030935808;0,216550657;NA
169;85;F;569;83;70;722;110;340;80;60;250;10;1673;NA;2015;11;4;486;50;90;2011;4;2;NA;380;0;NA;NA;NA;2;380;1,9;1,497368421;0,289473684;0,894736842;0,218421053;0,157894737;0,657894737;NA
170;85;F;2018;725;130;2873;110;690;80;130;610;20;NA;35;2013;5;2;1293;-20;80;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;529
171;86;F;4412;1082;NA;5494;170;650;NA;65;500;NA;NA;593;2014;12;4;3330;105;150;NA;NA;NA;29;558;1;2014;11;3;2;558;9,845878136;7,906810036;0,304659498;1,164874552;1,9390681;0,116487455;0,896057348;NA
172;86;M;874;70;53;997;255;500;80;55;415;25;NA;153;2011;11;4;804;200;85;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
173;87;M;918;231;NA;1149;80;NA;NA;25;NA;NA;NA;192;2011;12;4;687;55;NA;NA;NA;NA;NA;39;0;NA;NA;NA;2;39;29,46153846;23,53846154;2,051282051;NA;5,923076923;0,641025641;NA;NA
174;88;M;1888;673;70;2631;160;630;75;75;610;20;NA;NA;2012;11;4;1215;85;20;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
175;88;M;1566;110;99;1775;300;540;60;50;510;20;NA;NA;2012;11;4;1456;250;30;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
176;89;F;834;185;69;1088;115;NA;80;50;NA;20;NA;NA;2012;11;4;649;65;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
177;89;F;2339;535;101;2975;190;630;80;100;560;20;NA;944;2011;6;2;1804;90;70;NA;NA;NA;1189;NA;1;2008;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;92
178;89;F;1633;511;160;2304;100;655;105;55;600;15;NA;1486;2012;12;4;1122;45;55;NA;NA;NA;450;542;2;2011;9;3;2;542;4,250922509;3,012915129;0,184501845;1,208487085;0,942804428;0,101476015;1,10701107;94
179;90;F;1915;429;179;2523;130;665;90;55;660;25;NA;2157;2014;10;4;1486;75;5;NA;NA;NA;577;671;3;2013;3;1;3;671;3,760059613;2,853949329;0,193740686;0,991058122;0,639344262;0,081967213;0,983606557;NA
180;91;F;345;NA;NA;345;155;245;NA;NA;NA;NA;542;NA;2014;9;3;NA;NA;NA;2013;3;1;NA;NA;0;NA;NA;NA;1;542;0,636531365;0,636531365;0,28597786;0,45202952;NA;NA;NA;NA
181;91;M;1132;90;41;1263;305;80;80;65;20;20;1027;782;2011;1;1;1042;240;60;2008;3;1;NA;NA;0;NA;NA;NA;1;1027;1,229795521;1,102239533;0,2969815;0,077896787;0,087633885;0,063291139;0,019474197;NA
182;91;M;612;NA;37;649;90;560;80;35;525;NA;1322;1077;2011;11;4;NA;55;35;2008;3;1;NA;295;0;NA;NA;NA;2;295;2,2;2,074576271;0,305084746;1,898305085;NA;0,118644068;1,779661017;NA
183;92;M;1537;272;146;1955;140;635;70;40;600;20;1730;1485;2012;12;4;1265;100;35;2008;3;1;NA;408;0;NA;NA;NA;3;408;4,791666667;3,767156863;0,343137255;1,556372549;0,666666667;0,098039216;1,470588235;NA
184;93;M;1236;227;74;1537;125;690;110;35;620;30;2270;2025;2014;6;2;1009;90;70;2008;3;1;NA;540;0;NA;NA;NA;4;540;2,846296296;2,288888889;0,231481481;1,277777778;0,42037037;0,064814815;1,148148148;NA
185;93;F;1942;831;73;2846;210;650;80;100;600;20;NA;944;2011;6;2;1111;110;50;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;166
186;93;F;1723;336;106;2165;130;680;80;50;570;20;NA;1597;2013;4;2;1387;80;110;NA;NA;NA;487;653;1;2011;12;4;2;653;3,315467075;2,638591118;0,199081164;1,041347626;0,514548239;0,076569678;0,872894334;553
187;94;F;2283;326;232;2841;155;680;85;55;600;35;NA;2417;2015;7;3;1957;100;80;NA;NA;NA;267;820;2;2014;10;3;3;820;3,464634146;2,784146341;0,18902439;0,829268293;0,397560976;0,067073171;0,731707317;NA
188;94;M;943;39;48;1030;215;500;85;25;420;45;809;NA;2014;2;1;904;190;80;2011;12;4;NA;NA;0;NA;NA;NA;1;809;1,273176761;1,165636588;0,265760198;0,618046972;0,048207664;0,030902349;0,519159456;NA
193;95;M;587;112;83;782;100;480;90;45;500;15;1040;NA;2015;9;3;475;55;-20;2012;11;4;NA;362;0;NA;NA;NA;2;362;2,160220994;1,621546961;0,276243094;1,325966851;0,309392265;0,124309392;1,38121547;NA
189;96;M;1353;203;142;1698;145;570;95;40;520;40;1368;NA;2015;9;3;1150;105;50;2011;12;4;NA;559;0;NA;NA;NA;2;559;3,037567084;2,42039356;0,259391771;1,019677996;0,363148479;0,071556351;0,930232558;NA
190;96;F;1637;312;210;2159;90;690;80;40;665;25;NA;182;2011;12;4;1325;50;25;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;337
191;97;F;2281;631;200;3112;125;690;85;50;700;40;NA;1197;2014;9;3;1650;75;-10;NA;NA;NA;678;1015;1;2012;11;3;2;1015;3,066009852;2,24729064;0,123152709;0,679802956;0,621674877;0,049261084;0,689655172;NA
192;97;M;392;40;25;457;130;430;80;30;400;20;678;NA;2014;9;3;352;100;30;2012;11;4;NA;NA;0;NA;NA;NA;1;678;0,674041298;0,578171091;0,191740413;0,634218289;0,05899705;0,044247788;0,589970501;NA
194;98;M;105;NA;NA;105;75;205;NA;NA;NA;NA;NA;NA;2011;7;3;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
195;98;F;1394;387;87;1868;130;620;80;60;550;35;NA;1063;2011;8;3;1007;70;70;NA;NA;NA;559;NA;1;2010;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;160
196;99;F;1309;288;116;1713;90;640;90;60;520;35;NA;1760;2013;7;3;1021;30;120;NA;NA;NA;537;697;2;2012;1;1;2;697;2,457675753;1,87804878;0,129124821;0,918220947;0,413199426;0,086083214;0,746054519;261
197;99;F;686;NA;26;712;190;470;70;NA;260;NA;803;NA;2012;4;2;NA;NA;210;2010;2;1;NA;NA;0;NA;NA;NA;1;803;0,886674969;0,854296389;0,236612702;0,585305106;NA;NA;0,323785803;NA
198;99;M;822;23;58;903;125;540;90;25;320;35;1364;NA;2013;10;4;799;100;220;2010;2;1;NA;561;0;NA;NA;NA;2;561;1,609625668;1,465240642;0,222816399;0,962566845;0,040998217;0,04456328;0,570409982;NA
199;100;F;1102;128;80;1310;170;600;80;50;480;20;1965;NA;2015;6;2;974;120;120;2010;2;1;NA;601;0;NA;NA;NA;3;601;2,179700499;1,833610649;0,282861897;0,998336106;0,212978369;0,083194676;0,798668885;NA
200;101;F;1322;293;175;1790;110;640;60;60;520;30;1971;NA;2015;6;2;1029;50;120;2010;2;1;NA;6;0;NA;NA;NA;4;6;298,3333333;220,3333333;18,33333333;106,6666667;48,83333333;10;86,66666667;NA
201;101;M;1019;34;64;1117;230;520;80;30;340;20;1092;NA;2015;1;1;985;200;180;2012;1;1;NA;NA;0;NA;NA;NA;1;1092;1,022893773;0,933150183;0,210622711;0,476190476;0,031135531;0,027472527;0,311355311;NA
202;101;F;1963;223;80;2266;150;620;80;60;550;20;NA;1061;2011;8;3;1740;90;70;NA;NA;NA;643;NA;2;2009;11;3;1;NA;NA;NA;NA;NA;NA;NA;NA;142
203;102;F;1305;214;208;1727;100;630;90;50;500;20;NA;1760;2013;7;3;1091;50;130;NA;NA;NA;557;699;3;2012;1;1;2;699;2,470672389;1,86695279;0,143061516;0,901287554;0,306151645;0,071530758;0,715307582;617
204;103;F;1432;130;130;1692;130;640;70;60;480;10;NA;2469;2015;6;2;1302;70;160;NA;NA;NA;92;709;4;2015;3;1;3;709;2,386459803;2,019746121;0,183356841;0,902679831;0,183356841;0,084626234;0,677009873;NA
205;103;M;751;NA;35;786;180;495;80;NA;420;NA;748;NA;2011;11;4;NA;NA;75;2009;11;4;NA;NA;0;NA;NA;NA;1;748;1,050802139;1,004010695;0,240641711;0,661764706;NA;NA;0,561497326;NA
206;103;M;1283;108;109;1500;155;560;105;40;520;40;1450;NA;2013;10;4;1175;115;40;2009;11;4;NA;702;0;NA;NA;NA;2;702;2,136752137;1,827635328;0,220797721;0,797720798;0,153846154;0,056980057;0,740740741;NA
207;104;M;1525;240;122;1887;150;635;100;60;600;20;2015;NA;2015;5;2;1285;90;35;2009;11;4;NA;565;0;NA;NA;NA;3;565;3,339823009;2,699115044;0,265486726;1,123893805;0,424778761;0,10619469;1,061946903;NA
208;105;M;1265;NA;40;1305;270;490;60;NA;260;NA;1035;NA;2014;11;4;NA;NA;230;2012;1;1;NA;NA;0;NA;NA;NA;1;1035;1,260869565;1,222222222;0,260869565;0,473429952;NA;NA;0,251207729;NA
209;105;F;743;59;17;819;250;460;80;20;370;25;1256;1012;2011;6;2;684;230;90;2008;1;1;NA;NA;0;NA;NA;NA;1;1256;0,652070064;0,59156051;0,199044586;0,366242038;0,046974522;0,015923567;0,294585987;954
210;105;F;939;181;79;1199;120;565;80;35;450;15;1752;1508;2012;11;4;758;85;115;2008;1;1;NA;496;0;NA;NA;NA;2;496;2,41733871;1,893145161;0,241935484;1,139112903;0,364919355;0,070564516;0,907258065;458
211;106;F;1084;187;90;1361;130;555;90;30;480;20;2426;2182;2014;9;3;897;100;75;2008;1;1;216;674;1;2014;2;1;3;674;2,019287834;1,608308605;0,192878338;0,823442136;0,277448071;0,044510386;0,712166172;NA
212;106;F;1625;364;78;2067;270;580;80;85;560;30;NA;780;2010;11;4;1261;185;20;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;766
213;107;F;1511;352;86;1949;125;600;75;70;560;10;NA;1216;2012;1;1;1159;55;40;NA;NA;NA;NA;436;0;NA;NA;NA;2;436;4,470183486;3,46559633;0,286697248;1,376146789;0,80733945;0,160550459;1,28440367;330
214;107;F;1316;175;184;1675;110;600;85;20;520;30;NA;1755;2013;7;3;1141;90;80;NA;NA;NA;209;539;1;2012;12;4;3;539;3,107606679;2,441558442;0,204081633;1,113172542;0,324675325;0,037105751;0,964749536;843
215;108;F;1535;250;145;1930;135;630;95;60;550;20;NA;2428;2015;5;2;1285;75;80;NA;NA;NA;882;673;1;2012;12;4;4;673;2,867756315;2,280832095;0,200594354;0,936106984;0,371471025;0,089153046;0,817236256;170
216;109;F;514;NA;28;542;180;455;80;NA;230;NA;882;NA;2015;5;2;NA;NA;225;2012;12;4;NA;NA;0;NA;NA;NA;1;882;0,614512472;0,58276644;0,204081633;0,515873016;NA;NA;0,260770975;NA
217;109;F;873;369;168;1410;110;620;95;60;570;35;NA;900;2012;9;3;504;50;50;NA;NA;NA;439;NA;1;2011;6;2;1;NA;NA;NA;NA;NA;NA;NA;NA;153
218;110;F;2155;375;160;2690;150;610;50;60;540;30;NA;1685;2014;10;4;1780;90;70;NA;NA;NA;632;785;2;2013;2;1;2;785;3,426751592;2,74522293;0,191082803;0,777070064;0,477707006;0,076433121;0,687898089;401
219;110;F;2111;375;127;2613;190;635;90;70;560;20;NA;599;2011;11;4;1736;120;75;NA;NA;NA;254;NA;1;2011;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;480
220;111;F;2203;265;148;2616;170;645;90;65;640;15;NA;1648;2014;9;3;1938;105;5;NA;NA;NA;569;1049;2;2013;3;1;2;1049;2,493803622;2,100095329;0,162059104;0,614871306;0,252621544;0,061963775;0,610104862;449
221;111;F;1156;68;74;1298;280;520;85;45;440;30;1303;NA;2014;9;3;1088;235;80;2011;3;1;NA;NA;0;NA;NA;NA;1;1303;0,996162701;0,887183423;0,214888718;0,399079048;0,05218726;0,034535687;0,337682272;NA
222;112;M;610;74;50;734;160;440;80;40;440;30;847;NA;2015;6;2;536;120;0;2013;3;1;NA;NA;0;NA;NA;NA;1;847;0,866587957;0,720188902;0,188902007;0,519480519;0,087367178;0,047225502;0,519480519;NA
223;112;F;1604;443;151;2198;120;690;80;65;535;25;NA;918;2012;11;4;1161;55;155;NA;NA;NA;988;NA;1;2010;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
224;113;F;2356;428;163;2947;110;690;70;55;540;15;NA;1596;2014;9;3;1928;55;150;NA;NA;NA;1666;678;1;2010;2;1;2;678;4,34660767;3,474926254;0,162241888;1,017699115;0,631268437;0,081120944;0,796460177;NA
225;113;F;814;172;87;1073;130;610;80;50;530;20;NA;1021;2013;2;1;642;80;80;NA;NA;NA;357;NA;1;2012;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
226;114;F;1556;568;NA;2124;110;540;NA;55;420;NA;NA;1453;2014;4;2;988;55;120;NA;NA;NA;789;432;1;2012;2;1;2;432;4,916666667;3,601851852;0,25462963;1,25;1,314814815;0,127314815;0,972222222;NA
227;114;F;735;NA;40;775;210;440;80;NA;300;NA;1224;NA;2015;6;2;NA;NA;140;2012;2;1;NA;NA;0;NA;NA;NA;1;1224;0,633169935;0,600490196;0,171568627;0,359477124;NA;NA;0,245098039;NA
228;114;F;1159;214;91;1464;140;605;80;40;545;20;NA;552;2011;11;4;945;100;60;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;177
229;115;F;1177;309;65;1551;100;610;70;35;500;10;NA;1070;2013;4;2;868;65;110;NA;NA;NA;341;518;1;2012;5;2;2;518;2,994208494;2,272200772;0,193050193;1,177606178;0,596525097;0,067567568;0,965250965;607
230;116;F;1810;158;130;2098;170;620;60;30;480;30;NA;1882;2015;6;2;1652;140;140;NA;NA;NA;205;812;2;2014;12;4;3;812;2,583743842;2,229064039;0,209359606;0,763546798;0,194581281;0,036945813;0,591133005;NA
231;116;M;545;NA;17;562;180;440;70;NA;260;NA;790;NA;2014;7;3;NA;NA;180;2012;5;2;NA;NA;0;NA;NA;NA;1;790;0,711392405;0,689873418;0,227848101;0,556962025;NA;NA;0,329113924;NA
232;116;F;1166;385;169;1720;120;660;80;70;580;25;NA;856;2012;9;3;781;50;80;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;228
233;117;F;1410;320;160;1890;115;630;85;55;560;25;NA;1674;2014;12;4;1090;60;70;NA;NA;NA;590;818;1;2013;4;2;2;818;2,310513447;1,723716381;0,140586797;0,770171149;0,391198044;0,067237164;0,684596577;NA
234;118;M;785;43;37;865;200;510;70;30;400;20;751;NA;2015;5;2;742;170;110;2013;4;2;NA;NA;0;NA;NA;NA;1;751;1,151797603;1,045272969;0,266311585;0,679094541;0,057256991;0,039946738;0,532623169;NA
235;118;F;1938;428;180;2546;120;690;70;55;600;30;NA;851;2012;9;3;1510;65;90;NA;NA;NA;347;NA;2;2011;9;3;1;NA;NA;NA;NA;NA;NA;NA;NA;519
236;119;F;1877;266;173;2316;120;690;90;40;450;40;NA;1634;2014;10;4;1611;80;240;NA;NA;NA;264;783;3;2014;2;1;2;783;2,957854406;2,397190294;0,153256705;0,881226054;0,339719029;0,051085568;0,574712644;NA
237;119;M;901;31;41;973;210;505;80;30;380;30;765;NA;2013;10;4;870;180;125;2011;9;3;NA;NA;0;NA;NA;NA;1;765;1,271895425;1,177777778;0,274509804;0,660130719;0,040522876;0,039215686;0,496732026;NA
238;120;M;1465;233;110;1808;145;570;95;45;600;15;1418;NA;2015;8;3;1232;100;-30;2011;9;3;NA;653;0;NA;NA;NA;2;653;2,768759571;2,243491577;0,222052067;0,872894334;0,356814701;0,068912711;0,918836141;NA
239;120;F;1138;134;57;1329;260;560;75;60;490;30;942;547;2011;11;4;1004;200;70;2009;4;2;NA;NA;0;NA;NA;NA;1;942;1,410828025;1,208067941;0,276008493;0,59447983;0,142250531;0,063694268;0,520169851;882
240;120;F;1266;198;111;1575;130;570;70;30;550;40;1460;1065;2013;4;2;1068;100;20;2009;4;2;NA;518;0;NA;NA;NA;2;518;3,040540541;2,444015444;0,250965251;1,1003861;0,382239382;0,057915058;1,061776062;364
241;121;F;1140;210;72;1422;135;610;95;35;500;45;2225;1830;2015;5;2;930;100;110;2009;4;2;401;765;1;2014;4;2;3;765;1,858823529;1,490196078;0,176470588;0,797385621;0,274509804;0,045751634;0,653594771;NA
242;121;F;1509;285;167;1961;125;685;85;35;590;20;NA;544;2011;11;4;1224;90;95;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;277
243;122;F;2565;535;130;3230;185;640;65;60;540;30;NA;1513;2014;7;3;2030;125;100;NA;NA;NA;692;969;1;2012;8;3;2;969;3,333333333;2,647058824;0,190918473;0,660474716;0,552115583;0,061919505;0,557275542;273
244;123;M;840;44;56;940;200;470;70;40;440;10;844;NA;2014;12;4;796;160;30;2012;8;3;NA;NA;0;NA;NA;NA;1;844;1,113744076;0,995260664;0,236966825;0,556872038;0,052132701;0,047393365;0,521327014;NA
245;123;F;480;NA;28;508;150;430;60;NA;240;NA;632;NA;2014;10;4;NA;NA;190;2013;2;1;NA;NA;0;NA;NA;NA;1;632;0,803797468;0,759493671;0,237341772;0,680379747;NA;NA;0,379746835;NA
246;124;F;1995;300;130;2425;180;650;80;70;580;50;NA;1568;2014;7;3;1695;110;70;NA;NA;NA;152;NA;2;2014;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
247;124;F;1616;416;164;2196;125;680;85;55;630;20;NA;544;2011;11;4;1200;70;50;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;49
248;125;F;2188;548;142;2878;175;670;85;65;640;35;NA;1596;2014;9;3;1640;110;30;NA;NA;NA;1003;1052;1;2011;12;4;2;1052;2,735741445;2,079847909;0,16634981;0,636882129;0,520912548;0,061787072;0,608365019;64
249;125;M;1610;145;72;1827;265;570;95;50;540;40;1003;NA;2014;9;3;1465;215;30;2011;12;4;NA;NA;0;NA;NA;NA;1;1003;1,821535394;1,605184447;0,264207378;0,568295115;0,144566301;0,049850449;0,538384845;NA
