;ANIMAL;GENDER;AH_W_G;PH_W_G;SHAVINGS_W_G;TOTAL;AH_L;AH_C;AH_STUMP_L;PH_L;PH_C;PH_STUMP_L;CALC_AGE;CALC_ARRIVAL;DH_YEAR;DH_MONTH;DH_QUARTER;W_DIFF;L_DIFF;C_DIFF;B_YEAR;B_MONTH;B_QUARTER;DIM_DEHORN;INT_DEHORN;CALC_PARITY;C_YEAR;C_MONTH;C_QUARTER;N_DEHORNINGS;GR_DAYS;G_TOTAL;G_AH_W;G_AH_L;G_AH_C;G_PH_W;G_PH_L;G_PH_C;DAYSDUE
1709;855;F;1555;442;78;2075;175;635;95;65;550;35;NA;1356;2014;6;2;1113;110;85;NA;NA;NA;NA;788;0;NA;NA;NA;2;788;2,633248731;1,973350254;0,222081218;0,805837563;0,560913706;0,08248731;0,697969543;180
1710;855;F;1275;253;73;1601;145;590;85;60;510;20;NA;568;2012;4;2;1022;85;80;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1711;856;F;980;192;111;1283;75;570;115;30;480;30;NA;973;2013;5;2;788;45;90;NA;NA;NA;NA;405;0;NA;NA;NA;2;405;3,167901235;2,419753086;0,185185185;1,407407407;0,474074074;0,074074074;1,185185185;NA
1712;856;F;1586;488;150;2224;110;680;80;70;560;20;NA;770;2012;11;4;1098;40;120;NA;NA;NA;639;NA;1;2011;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;959
1713;857;F;265;NA;NA;265;NA;NA;NA;NA;NA;NA;NA;1341;2014;6;2;NA;NA;NA;NA;NA;NA;1210;571;1;2011;2;1;2;571;0,464098074;0,464098074;NA;NA;NA;NA;NA;388
1714;858;F;1815;453;131;2399;170;670;100;60;520;50;NA;1532;2014;12;4;1362;110;150;NA;NA;NA;1401;191;1;2011;2;1;3;191;12,56020942;9,502617801;0,890052356;3,507853403;2,371727749;0,314136126;2,722513089;197
1715;858;F;333;NA;15;348;140;460;90;10;290;20;639;NA;2012;11;4;NA;130;170;2011;2;1;NA;NA;0;NA;NA;NA;1;639;0,544600939;0,521126761;0,219092332;0,719874804;NA;0,015649452;0,453834116;NA
1716;859;F;955;94;43;1092;160;530;90;50;430;30;1230;NA;2014;6;2;861;110;100;2011;2;1;NA;591;0;NA;NA;NA;2;591;1,847715736;1,615905245;0,27072758;0,89678511;0,159052453;0,084602369;0,727580372;NA
1717;859;F;430;NA;19;449;170;415;80;25;245;25;717;NA;2012;1;1;NA;145;170;2010;2;1;NA;NA;0;NA;NA;NA;1;717;0,626220363;0,59972106;0,237099024;0,578800558;NA;0,034867503;0,341701534;NA
1718;859;F;892;39;69;1000;150;510;80;30;330;30;1364;NA;2013;10;4;853;120;180;2010;2;1;NA;647;0;NA;NA;NA;2;647;1,545595054;1,378670788;0,231839258;0,788253478;0,060278207;0,046367852;0,510046368;NA
